Date,Open,High,Low,Close,Volume
2024-08-16,82.05,84.16,81.98,83.18,25249172.0
2024-08-19,83.98,84.9,83.49,83.91,14750992.0
2024-08-20,82.46,82.6,80.775,81.04,17880059.0
2024-08-21,81.85,83.8,81.71,83.53,14689960.0
2024-08-22,83.5,83.79,81.83,82.96,9728952.0
2024-08-23,84.9,85.79,84.36,85.41,17317996.0
2024-08-26,81.89,82.305,80.3703,81.76,29321676.0
2024-08-27,82.27,82.65,81.27,81.45,9026068.0
2024-08-28,81.125,81.2799,79.205,79.62,14024406.0
2024-08-29,81.24,81.465,80.46,81.02,14154155.0
2024-08-30,84.72,84.75,82.58,83.34,20027304.0
2024-09-03,81.78,83.02,81.7,82.27,11638188.0
2024-09-04,82.87,83.4,82.3,82.47,10845500.0
2024-09-05,82.105,83.01,82.0,82.43,8461044.0
2024-09-06,82.12,82.62,81.17,81.18,11712670.0
2024-09-09,80.93,81.625,80.3199,81.44,10434425.0
2024-09-10,83.8,84.3,82.715,83.8,15327768.0
2024-09-11,83.575,84.84,83.5,84.81,11551734.0
2024-09-12,85.03,85.6801,84.86,85.49,10781344.0
2024-09-13,84.39,84.89,83.82,84.69,8985457.0
2024-09-16,84.035,84.38,83.26,83.6,11298241.0
2024-09-17,84.82,85.77,84.63,84.7,10113889.0
2024-09-18,84.85,85.0,84.04,84.42,7858842.0
2024-09-19,87.625,88.565,86.95,88.49,18618354.0
2024-09-20,89.22,89.52,88.05,88.29,12277036.0
2024-09-23,89.47,91.15,89.32,90.09,19744055.0
2024-09-24,96.07,97.5,94.4,97.19,47423157.0
2024-09-25,94.38,96.18,94.06,95.46,18816624.0
2024-09-26,102.69,105.97,101.76,105.07,67261624.0
2024-09-27,105.97,109.43,105.73,107.33,50075194.0
2024-09-30,111.72,112.22,106.105,106.12,58695541.0
2024-10-01,106.42,112.79,106.15,112.74,44505025.0
2024-10-02,115.31,116.57,112.22,115.25,53732816.0
2024-10-03,110.9,114.09,110.63,112.84,29266952.0
2024-10-04,115.665,115.73,113.75,114.53,25699080.0
2024-10-07,117.45,117.82,113.37,117.52,38404022.0
2024-10-08,110.1,110.76,108.04,109.68,37414363.0
2024-10-09,105.8,109.38,105.62,107.89,28792997.0
2024-10-10,108.98,110.84,107.48,109.28,19736630.0
2024-10-11,108.05,111.05,107.22,110.14,18042614.0
2024-10-14,108.31,110.08,106.92,107.81,21351601.0
2024-10-15,103.99,104.41,101.64,101.84,28942615.0
2024-10-16,102.505,103.85,101.78,102.17,16432574.0
2024-10-17,101.25,101.45,99.55,100.07,15808247.0
